unit_id,unit_name,vehicle_class,brand,model,color,engine_model,engine_power,engine_displacement,primary_fuel_type,year,registration_plate,co2_emission
401943217,SFRESGATE_2685,passenger_car,Fiat 1.0,Cronos,Branca,71cv,"52,2",999cm³,Flex,2023,SJI6G86,
401916880,SFRESGATE_5271,passenger_car,Fiat 1.0,Cronos,Branca,71cv,"52,2",999cm³,Flex,2023,SJI6G86,
401941806,SFRESGATE_9673,passenger_car,Fiat 1.0,Cronos,Branca,71cv,"52,2",999cm³,Flex,2023,SJI6G86,
401916024,SFRESGATE_BPQ3E25,passenger_car,Fiat 1.0,Cronos,Branca,71cv,"52,2",999cm³,Flex,2023,BPQ3E25,
401915533,SFRESGATE_DRI8I74,passenger_car,Fiat 1.0,Cronos,Branca,71cv,"52,2",999cm³,Flex,2023,DRI8I74,
401906339,SFRESGATE_DRQ5I21,empty_vehicle,,,,,,,,,DRQ5I21,
401941781,SFRESGATE_EWN7294,passenger_car,Fiat 1.0,Cronos,Branca,71cv,"52,2",999cm³,Flex,2023,SJI6G86,
401880997,SFRESGATE_SIV2J35,empty_vehicle,,,,,,,,,,
401879378,SFRESGATE_SJI6G54,empty_vehicle,,,,,,,,,,
401916817,SFRESGATE_SJI6G63,passenger_car,Fiat 1.0,Cronos,Branca,71cv,"52,2",999cm³,Flex,2023,SJI6G63,
401879179,SFRESGATE_SJI6G64,empty_vehicle,,,,,,,,,,
401889700,SFRESGATE_SJI6G68,empty_vehicle,,,,,,,,,,
401880902,SFRESGATE_SJI6G72,empty_vehicle,,,,,,,,,,
401889343,SFRESGATE_SJI6G74,passenger_car,Fiat 1.0,Cronos,Branca,71cv,"52,2",999cm³,Flex,2023,SYF6G05,
401927850,SFRESGATE_SJI6G75,passenger_car,Fiat 1.0,Cronos,Branca,71cv,"52,2",999cm³,Flex,2023,SJI6G86,98
401928009,SFRESGATE_SJI6G77,passenger_car,Fiat 1.0,Cronos,Branca,71cv,"52,2",999cm³,Flex,2023,SJI6G86,98
401916826,SFRESGATE_SJI6G78,passenger_car,Fiat 1.0,Cronos,Branca,71cv,"52,2",999cm³,Flex,2023,,
401927802,SFRESGATE_SJI6G79,passenger_car,Fiat 1.0,Cronos,Branca,71cv,"52,2",999cm³,Flex,2023,SJI6G86,98
401879415,SFRESGATE_SJI6G82,passenger_car,Fiat 1.0,Cronos,Branca,71cv,"52,2",999cm³,Flex,2023,SJI6G86,98
401928011,SFRESGATE_SJI6G85,passenger_car,Fiat 1.0,Cronos,Branca,71cv,"52,2",999cm³,Flex,2023,SJI6G86,98
401915520,SFRESGATE_SJI6G86,passenger_car,Fiat 1.0,Cronos,Branca,71cv,"52,2",999cm³,Flex,2023,SJI6G86,
401927726,SFRESGATE_SJI6G88,passenger_car,Fiat 1.0,Cronos,Branca,71cv,"52,2",999cm³,Flex,2023,SJI6G86,98
401881369,SFRESGATE_SJI6G89,empty_vehicle,,,,,,,,,SJI6G89,
401915486,SFRESGATE_SJI6G90,passenger_car,Fiat 1.0,Cronos,Branca,71cv,"52,2",999cm³,Flex,2023,SJI6G86,
401929767,SFRESGATE_SJI6G91,passenger_car,Fiat 1.0,Cronos,Branca,71cv,"52,2",999cm³,Flex,2023,SJI6G86,98
401906383,SFRESGATE_SJI6G92,empty_vehicle,,,,,,,,,,
401881418,SFRESGATE_SJI6G96,empty_vehicle,,,,,,,,,SJI6G96,
401916092,SFRESGATE_SJI6G97,empty_vehicle,,,,,,,,,SJI6G97,
401897329,SFRESGATE_SJI6G99,empty_vehicle,,,,,,,,,SJI6G99,
401907057,SFRESGATE_SYB8E00,empty_vehicle,,,,,,,,,SYB8E00,
401916068,SFRESGATE_SYB8E10,passenger_car,Fiat 1.0,Cronos,Branca,71cv,"52,2",999cm³,Flex,2023,SJI6G86,
401879325,SFRESGATE_SYB8E11,empty_vehicle,,,,,,,,,,
401907137,SFRESGATE_SYB8E23,empty_vehicle,,,,,,,,,SYB8E23,
401946422,SFRESGATE_SYB8E28,passenger_car,Fiat 1.0,Cronos,Branca,71cv,"52,2",999cm³,Flex,2023,SJI6G86,
401906350,SFRESGATE_SYB8E24,empty_vehicle,,,,,,,,,SYB8E24,
401941723,SFRESGATE_SYB8E25,passenger_car,Fiat 1.0,Cronos,Branca,71cv,"52,2",999cm³,Flex,2023,SJI6G86,
401915500,SFRESGATE_SYF6G05,passenger_car,Fiat 1.0,Cronos,Branca,71cv,"52,2",999cm³,Flex,2023,SJI6G86,
401880666,SFRESGATE_SYZ2F17,empty_vehicle,,,,,,,,,,
